№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,,info,,⁕
1,08.07.22 18:04=UTC+02:00,CHMännlichen,,6.87 km,8.24 P.,0 : 16 h,42.08,,, ,,
2,06.07.22 19:37=UTC+02:00,CH?,,2.19 km,2.63 P.,0 : 04 h,40.64,,, ,,
3,13.07.22 17:19=UTC+02:00,CH?,,41.69 km,50.03 P.,1 : 20 h,33.77,,, ,,
4,14.04.22 10:04=UTC+02:00,CHRiederalp,,194.18 km,194.18 P.,6 : 24 h,31.29,,, ,,
5,07.07.22 17:58=UTC+02:00,CHLobhornhütte,,11.22 km,11.22 P.,0 : 21 h,31.09,,, ,,
6,07.07.22 10:19=UTC+02:00,CHRegenbold...,,4.27 km,4.27 P.,0 : 08 h,30.85,,, ,,
7,12.01.22 15:22=UTC+01:00,CHGurnigel,,10.85 km,10.85 P.,0 : 22 h,30.44,,, ,,
8,06.07.22 12:57=UTC+02:00,CHGrindelwald,,6.72 km,8.06 P.,0 : 19 h,30.32,,, ,,
9,07.07.22 16:15=UTC+02:00,CHNiederhorn,,17.18 km,17.18 P.,0 : 35 h,29.7,,, ,,
10,10.05.22 10:07=UTC+02:00,CHNiesen,,251.48 km,301.78 P.,8 : 46 h,29.34,,, ,,
11,14.05.22 12:46=UTC+02:00,CHGrindelwald,,60.84 km,60.84 P.,3 : 16 h,29.33,,, ,,
12,13.08.22 12:29=UTC+02:00,CHLai Alv,,81.68 km,81.68 P.,2 : 59 h,29.01,,, ,,
13,16.04.22 14:52=UTC+02:00,CH?,,10.92 km,10.92 P.,0 : 24 h,28.4,,, ,,
14,10.06.22 17:22=UTC+02:00,SI?,,3.95 km,3.95 P.,0 : 08 h,28.35,,, ,,
15,19.07.22 10:27=UTC+02:00,CHFiesch,,264.16 km,316.99 P.,9 : 28 h,28.16,,, ,,
16,16.04.22 12:45=UTC+02:00,CHMentschelen,,20.53 km,20.53 P.,0 : 48 h,27.06,,, ,,
17,18.05.22 09:32=UTC+02:00,CHDrunengalm,,289.61 km,347.53 P.,10 : 54 h,26.77,,, ,,
18,15.05.22 12:06=UTC+02:00,CHGrindelwald,,62.48 km,62.48 P.,2 : 39 h,26.56,,, ,,
19,27.02.22 13:45=UTC+01:00,CHMetschstand,,21.29 km,25.55 P.,1 : 06 h,26.34,,, ,,
20,04.09.22 12:46=UTC+02:00,CHGrindelwald,,75.47 km,75.47 P.,3 : 00 h,26.26,,, ,,
21,21.08.22 11:48=UTC+02:00,CHFiesch,,208.95 km,271.64 P.,8 : 16 h,25.93,,, ,,
22,12.06.22 12:23=UTC+02:00,SIKobala,,103.34 km,124.01 P.,4 : 30 h,25.12,,,,,
